Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745901729,1,,Aggregated,0.500000,0.000000,89,110,140,140,160,320,960,960,960,960,960,32,0,85,127.14569687499986,32.61230000000026,960.8462000000006,2893.75
1745901730,1,,Aggregated,0.500000,0.000000,89,110,140,140,160,320,960,960,960,960,960,33,0,89,126.97418484848478,32.61230000000026,960.8462000000006,2828.5151515151515
1745901731,1,,Aggregated,0.500000,0.000000,89,110,140,140,160,320,960,960,960,960,960,33,0,89,126.97418484848478,32.61230000000026,960.8462000000006,2828.5151515151515
1745901732,1,,Aggregated,0.500000,0.000000,89,110,140,140,160,320,960,960,960,960,960,33,0,89,126.97418484848478,32.61230000000026,960.8462000000006,2828.5151515151515
1745901733,1,,Aggregated,0.600000,0.000000,90,120,140,140,160,320,960,960,960,960,960,34,0,89,127.07714411764704,32.61230000000026,960.8462000000006,2747.029411764706
1745901734,1,,Aggregated,0.600000,0.000000,90,120,140,140,160,320,960,960,960,960,960,34,0,89,127.07714411764704,32.61230000000026,960.8462000000006,2747.029411764706
1745901735,1,,Aggregated,0.400000,0.000000,89,120,140,140,160,320,960,960,960,960,960,35,0,89,125.17000571428562,32.61230000000026,960.8462000000006,2668.6
1745901736,1,,Aggregated,0.400000,0.000000,89,120,140,140,160,320,960,960,960,960,960,35,0,89,125.17000571428562,32.61230000000026,960.8462000000006,2668.6
1745901737,1,,Aggregated,0.400000,0.000000,89,120,140,140,160,320,960,960,960,960,960,35,0,89,125.17000571428562,32.61230000000026,960.8462000000006,2668.6
1745901738,1,,Aggregated,0.500000,0.000000,89,110,140,140,160,320,960,960,960,960,960,36,0,85,123.58820833333309,32.61230000000026,960.8462000000006,2594.527777777778
1745901739,1,,Aggregated,0.500000,0.000000,89,110,140,140,160,320,960,960,960,960,960,36,0,85,123.58820833333309,32.61230000000026,960.8462000000006,2594.527777777778
1745901740,1,,Aggregated,0.400000,0.000000,85,110,130,140,160,320,960,960,960,960,960,37,0,85,121.06659729729684,30.28859999999156,960.8462000000006,2525.972972972973
1745901741,1,,Aggregated,0.400000,0.000000,85,110,130,140,160,320,960,960,960,960,960,37,0,85,121.06659729729684,30.28859999999156,960.8462000000006,2525.972972972973
1745901742,1,,Aggregated,0.400000,0.000000,89,120,140,140,170,320,960,960,960,960,960,38,0,85,122.27392368421002,30.28859999999156,960.8462000000006,3024.342105263158
1745901743,1,,Aggregated,0.400000,0.000000,85,110,140,140,170,320,960,960,960,960,960,39,0,85,120.32666410256341,30.28859999999156,960.8462000000006,2965.7948717948716
1745901744,1,,Aggregated,0.400000,0.000000,85,110,140,140,170,320,960,960,960,960,960,39,0,85,120.32666410256341,30.28859999999156,960.8462000000006,2965.7948717948716
1745901745,1,,Aggregated,0.400000,0.000000,85,110,140,140,170,320,960,960,960,960,960,39,0,85,120.32666410256341,30.28859999999156,960.8462000000006,2965.7948717948716
1745901746,1,,Aggregated,0.400000,0.000000,89,120,140,140,170,320,960,960,960,960,960,40,0,85,120.40053999999914,30.28859999999156,960.8462000000006,2891.7
1745901747,1,,Aggregated,0.400000,0.000000,89,120,140,140,170,320,960,960,960,960,960,40,0,85,120.40053999999914,30.28859999999156,960.8462000000006,2891.7
1745901748,1,,Aggregated,0.400000,0.000000,89,120,130,140,160,210,960,960,960,960,960,41,0,89,120.49555609756021,30.28859999999156,960.8462000000006,2839.243902439024
1745901749,1,,Aggregated,0.400000,0.000000,89,120,130,140,160,210,960,960,960,960,960,41,0,89,120.49555609756021,30.28859999999156,960.8462000000006,2839.243902439024
1745901750,1,,Aggregated,0.500000,0.000000,90,120,130,140,160,210,960,960,960,960,960,42,0,89,120.18512142857087,30.28859999999156,960.8462000000006,2789.285714285714
1745901751,1,,Aggregated,0.500000,0.000000,90,120,130,140,160,210,960,960,960,960,960,42,0,89,120.18512142857087,30.28859999999156,960.8462000000006,2789.285714285714
1745901752,1,,Aggregated,0.500000,0.000000,90,120,140,140,170,220,960,960,960,960,960,43,0,90,122.50388837209236,30.28859999999156,960.8462000000006,3223.5813953488373
